@relation Dataset

@attribute 'Loan Range' {'a $5-10 million','b $2-5 million','c $1-2 million','\"d $350,000-1 million\"','\"e $150,000-350,000\"'}
@attribute Zip {00000,98052,98101,98372,98058,98001,98004,98409,98033,98660,98466,98134,98271,99352,98661,98133,98902,98203,98815,98275,98027,98225,98006,99202,98108,98903,98047,98520,98662,98188,98007,98168,98032,99216,98114,98233,98104,98284,98801,98311,98445,98335,99206,98422,98008,98005,98204,98072,98604,98374,98003,98665,99350,98499,98021,98109,98607,98199,98002,98584,98402,98144,98105,98201,98632,98103,98121,99201,98057,98038,98390,98443,98683,99336,98012,99338,98403,98424,98368,98119,99016,99354,99212,98926,98248,98226,98164,98264,98122,98671,98028,98040,98506,98229,98208,98847,99220,98117,98401,98516,99301,98354,98107,98383,98467,98532,98908,98826,98125,98371,98663,98664,99344,99328,98841,98360,98034,98421,98391,98011,98642,98337,98221,99224,98127,99133,98257,98802,98074,98444,98840,98110,98272,98512,98373,98419,99019,98405,98541,98951,98909,98126,98685,98046,98332,98948,98056,98249,98290,98136,99204,98045,98682,98155,98321,98292,99001,98230,98620,99006,98816,98356,98668,99122,98626,98942,98277,98050,98848,98837,98501,98087,98346,98244,98595,98502,98009,98586,98070,98106,98503,99156,99180,98392,98223,98035,98010,98624,98672,99111,98065,98331,99207,98177,98936,98115,98605,98036,98557,99223,98406,98684,98092,98901,98930,99218,98102,98232,99114,99362,98370,98252,98124,98580,98568,98952,98206,98407,98148,98674,98026,98118,98031,98043,99217,98296,98022,98165,98273,98591,98270,98932,98531,98077,98112,98019,98686,98083,98446,98258,98907,99141,98923,99403,98059,98274,98944,98411,98071,98029,98666,98166,98295,99208,99166,99337,98938,98312,98154,98362,98178,98812,99213,98235,98941,98327,98597,98042,98020,98509,98037,98382,98831,99320,98227,98629,99109,98250,99205,98592,98198,98855,98245,98844,98051,98363,98823,98367,99169,99357,98857,98606,98161,98922,99302,98247,98496,98404,98055,98415,89502,98563,98338,98366,98513,98260,99025,99219,98116,99004,98631,99027,99029,98024,98579,99324,99343,98375,98610,98158,99353,98053,98498,98935,98023,99349,98577,98564,98291,98542,99163,98282,99330,98507,98339,98014,99203,99356,98030,98843,99026,98528,99117,98236,99181,98596,98228,98933,99214,98329,98387,99209,99211,98640,98262,99347,98465,98330,98082,98555,98856,98550,98953,98408,99037,98138,99215,98850,98612,99119,98328,98611,98418,98619,98357,98601,99103,99021,98527,98146,99022,98558,99005,98286,98569,98359,98310,98365,98194,98237,98448,98239,98576,98821,99326,98937,98438,98648,98571,99033,98639,99210,99012,98039,98349,98862,98807,98511,98822,98075,98590,98241,98947,98013,99110,98537,98625,98015,99323,99023,98195,98858,99032,98276,98464,99031,98836,98828,98439,98325,99346,99155,98238,99173,98333,98281,98617,98141,98675,98394,98417,98589,98240,98490,98220,98139,99009,98251,99360,98255,98548,98294,98304,99361,99115,98261,98388,98380,98824,98832,98833,98267,98827,98570,98650,98645,98638,98358,99228,98562,98324,98673,98350,98587,98376,98073,99140,99003,98834,98851,98041,98566,98846,93280,98280,98340}
@attribute 'Jobs Retained' numeric

@data
'\"d $350,000-1 million\"',98001,0
'\"d $350,000-1 million\"',98501,91
'\"d $350,000-1 million\"',98632,0
'\"d $350,000-1 million\"',98626,19
'\"d $350,000-1 million\"',98443,30
'\"d $350,000-1 million\"',98274,0
'\"d $350,000-1 million\"',98109,1
'\"d $350,000-1 million\"',98225,0
'\"d $350,000-1 million\"',98374,60
'\"d $350,000-1 million\"',98006,43
'\"d $350,000-1 million\"',98101,45
'\"d $350,000-1 million\"',98632,0
'\"d $350,000-1 million\"',98117,43
'\"d $350,000-1 million\"',98683,138
'\"d $350,000-1 million\"',98002,46
'\"d $350,000-1 million\"',98072,104
'\"d $350,000-1 million\"',98226,48
'\"d $350,000-1 million\"',98103,44
'\"d $350,000-1 million\"',98109,53
'\"d $350,000-1 million\"',98226,73
'\"d $350,000-1 million\"',99224,0
'\"d $350,000-1 million\"',98584,365
'\"d $350,000-1 million\"',98264,46
'\"d $350,000-1 million\"',98264,0
'\"d $350,000-1 million\"',98264,59
'\"d $350,000-1 million\"',98026,108
'\"d $350,000-1 million\"',98037,0
'\"d $350,000-1 million\"',98037,28
'\"d $350,000-1 million\"',98072,25
'\"d $350,000-1 million\"',98011,34
'\"d $350,000-1 million\"',99213,0
'\"d $350,000-1 million\"',98007,39
'\"d $350,000-1 million\"',98499,104
'\"d $350,000-1 million\"',99217,30
'\"d $350,000-1 million\"',98619,17
'\"d $350,000-1 million\"',99111,30
'\"d $350,000-1 million\"',98532,70
'\"d $350,000-1 million\"',98144,0
'\"d $350,000-1 million\"',99001,30
'\"d $350,000-1 million\"',98104,0
'\"d $350,000-1 million\"',99202,0
'\"d $350,000-1 million\"',98373,47
'\"d $350,000-1 million\"',98499,0
'\"d $350,000-1 million\"',98371,0
'\"d $350,000-1 million\"',98661,0
'\"d $350,000-1 million\"',98110,0
'\"d $350,000-1 million\"',98409,70
'\"d $350,000-1 million\"',98199,80
'\"d $350,000-1 million\"',98119,47
'\"d $350,000-1 million\"',98204,58
'\"d $350,000-1 million\"',99338,35
'\"d $350,000-1 million\"',98004,24
'\"d $350,000-1 million\"',98027,0
'\"d $350,000-1 million\"',98004,0
'\"d $350,000-1 million\"',98004,25
'\"d $350,000-1 million\"',98052,31
'\"d $350,000-1 million\"',98020,0
'\"d $350,000-1 million\"',98221,36
'\"d $350,000-1 million\"',98357,57
'\"d $350,000-1 million\"',98104,35
'\"d $350,000-1 million\"',98503,39
'\"d $350,000-1 million\"',98801,125
'\"d $350,000-1 million\"',98102,25
'\"d $350,000-1 million\"',98042,23
'\"d $350,000-1 million\"',98042,31
'\"d $350,000-1 million\"',98104,33
'\"d $350,000-1 million\"',98122,0
'\"d $350,000-1 million\"',98104,27
'\"d $350,000-1 million\"',98104,27
'\"d $350,000-1 million\"',98036,45
'\"d $350,000-1 million\"',98831,0
'\"d $350,000-1 million\"',98033,310
'\"d $350,000-1 million\"',99362,72
'\"d $350,000-1 million\"',98027,41
'\"d $350,000-1 million\"',98502,0
'\"d $350,000-1 million\"',98118,125
'\"d $350,000-1 million\"',98005,20
'\"d $350,000-1 million\"',98134,0
'\"d $350,000-1 million\"',98108,0
'\"d $350,000-1 million\"',98257,47
'\"d $350,000-1 million\"',98409,16
'\"d $350,000-1 million\"',99403,21
'\"d $350,000-1 million\"',98092,37
'\"d $350,000-1 million\"',98052,0
'\"d $350,000-1 million\"',98033,0
'\"d $350,000-1 million\"',99205,0
'\"d $350,000-1 million\"',98004,8
'\"d $350,000-1 million\"',98103,40
'\"d $350,000-1 million\"',98027,0
'\"d $350,000-1 million\"',98121,34
'\"d $350,000-1 million\"',98108,0
'\"d $350,000-1 million\"',98660,56
'\"d $350,000-1 million\"',98105,120
'\"d $350,000-1 million\"',98103,0
'\"d $350,000-1 million\"',98109,45
'\"d $350,000-1 million\"',98101,30
'\"d $350,000-1 million\"',98011,23
'\"d $350,000-1 million\"',98057,24
'\"d $350,000-1 million\"',98328,80
'\"d $350,000-1 million\"',98047,44
'\"d $350,000-1 million\"',98373,43
'\"d $350,000-1 million\"',98233,0
'\"d $350,000-1 million\"',99301,34
'\"d $350,000-1 million\"',99336,30
'\"d $350,000-1 million\"',98601,30
'\"d $350,000-1 million\"',98168,57
'\"d $350,000-1 million\"',98010,100
'\"d $350,000-1 million\"',98257,89
'\"d $350,000-1 million\"',98390,47
'\"d $350,000-1 million\"',99353,40
'\"d $350,000-1 million\"',98109,0
'\"d $350,000-1 million\"',98001,80
'\"d $350,000-1 million\"',98383,29
'\"d $350,000-1 million\"',99206,128
'\"d $350,000-1 million\"',98109,0
'\"d $350,000-1 million\"',98812,79
'\"d $350,000-1 million\"',99337,96
'\"d $350,000-1 million\"',98902,26
'\"d $350,000-1 million\"',98101,22
'\"d $350,000-1 million\"',98335,89
'\"d $350,000-1 million\"',98407,0
'\"d $350,000-1 million\"',98532,0
'\"d $350,000-1 million\"',99202,62
'\"d $350,000-1 million\"',99202,0
'\"d $350,000-1 million\"',99212,77
'\"d $350,000-1 million\"',98903,20
'\"d $350,000-1 million\"',99301,68
'\"d $350,000-1 million\"',99301,41
'\"d $350,000-1 million\"',99362,38
'\"d $350,000-1 million\"',99301,60
'\"d $350,000-1 million\"',98671,0
'\"d $350,000-1 million\"',98051,38
'\"d $350,000-1 million\"',98032,26
'\"d $350,000-1 million\"',98032,30
'\"d $350,000-1 million\"',98108,16
'\"d $350,000-1 million\"',98402,19
'\"d $350,000-1 million\"',98372,15
'\"d $350,000-1 million\"',98052,43
'\"d $350,000-1 million\"',99103,39
'\"d $350,000-1 million\"',98101,23
'\"d $350,000-1 million\"',98022,66
'\"d $350,000-1 million\"',98144,25
'\"d $350,000-1 million\"',98684,95
'\"d $350,000-1 million\"',98101,0
'\"d $350,000-1 million\"',98665,0
'\"d $350,000-1 million\"',99202,198
'\"d $350,000-1 million\"',98203,14
'\"d $350,000-1 million\"',98421,25
'\"d $350,000-1 million\"',98684,155
'\"d $350,000-1 million\"',98684,66
'\"d $350,000-1 million\"',98926,40
'\"d $350,000-1 million\"',98424,0
'\"d $350,000-1 million\"',98108,36
'\"d $350,000-1 million\"',98501,0
'\"d $350,000-1 million\"',98004,26
'\"d $350,000-1 million\"',98101,27
'\"d $350,000-1 million\"',98328,118
'\"d $350,000-1 million\"',99202,38
'\"d $350,000-1 million\"',98513,20
'\"d $350,000-1 million\"',98902,106
'\"d $350,000-1 million\"',98512,35
'\"d $350,000-1 million\"',99336,42
'\"d $350,000-1 million\"',99301,82
'\"d $350,000-1 million\"',98108,42
'\"d $350,000-1 million\"',98935,74
'\"d $350,000-1 million\"',98032,65
'\"d $350,000-1 million\"',98002,43
'\"d $350,000-1 million\"',98072,312
'\"d $350,000-1 million\"',98101,18
'\"d $350,000-1 million\"',98042,54
'\"d $350,000-1 million\"',98188,39
'\"d $350,000-1 million\"',98033,0
'\"d $350,000-1 million\"',98055,0
'\"d $350,000-1 million\"',98229,62
'\"d $350,000-1 million\"',98922,0
'\"d $350,000-1 million\"',98632,38
'\"d $350,000-1 million\"',98036,0
'\"d $350,000-1 million\"',98134,0
'\"d $350,000-1 million\"',99217,63
'\"d $350,000-1 million\"',98272,26
'\"d $350,000-1 million\"',98390,55
'\"d $350,000-1 million\"',98104,33
'\"d $350,000-1 million\"',98108,26
'\"d $350,000-1 million\"',98057,15
'\"d $350,000-1 million\"',98112,0
'\"d $350,000-1 million\"',98499,27
'\"d $350,000-1 million\"',98112,77
'\"d $350,000-1 million\"',98072,44
'\"d $350,000-1 million\"',98052,38
'\"d $350,000-1 million\"',99338,38
'\"d $350,000-1 million\"',98004,0
'\"d $350,000-1 million\"',99352,17
'\"d $350,000-1 million\"',98837,36
'\"d $350,000-1 million\"',98087,46
'\"d $350,000-1 million\"',98134,0
'\"d $350,000-1 million\"',98672,45
'\"d $350,000-1 million\"',98108,43
'\"d $350,000-1 million\"',99301,125
'\"d $350,000-1 million\"',99330,21
'\"d $350,000-1 million\"',98223,76
'\"d $350,000-1 million\"',98926,36
'\"d $350,000-1 million\"',98855,43
'\"d $350,000-1 million\"',98409,89
'\"d $350,000-1 million\"',98591,28
'\"d $350,000-1 million\"',98103,57
'\"d $350,000-1 million\"',98953,0
'\"d $350,000-1 million\"',98371,75
'\"d $350,000-1 million\"',98121,62
'\"d $350,000-1 million\"',98372,0
'\"d $350,000-1 million\"',98684,38
'\"d $350,000-1 million\"',98012,31
'\"d $350,000-1 million\"',98012,40
'\"d $350,000-1 million\"',98033,0
'\"d $350,000-1 million\"',98198,52
'\"d $350,000-1 million\"',98312,0
'\"d $350,000-1 million\"',98121,0
'\"d $350,000-1 million\"',98682,0
'\"d $350,000-1 million\"',98112,26
'\"d $350,000-1 million\"',98043,56
'\"d $350,000-1 million\"',98903,76
'\"d $350,000-1 million\"',98661,26
'\"d $350,000-1 million\"',98272,44
'\"d $350,000-1 million\"',99219,0
'\"d $350,000-1 million\"',98104,24
'\"d $350,000-1 million\"',99021,30
'\"d $350,000-1 million\"',98007,0
'\"d $350,000-1 million\"',98055,0
'\"d $350,000-1 million\"',98801,66
'\"d $350,000-1 million\"',98802,8
'\"d $350,000-1 million\"',98101,22
'\"d $350,000-1 million\"',98662,22
'\"d $350,000-1 million\"',98848,220
'\"d $350,000-1 million\"',98004,41
'\"d $350,000-1 million\"',98225,36
'\"d $350,000-1 million\"',98383,0
'\"d $350,000-1 million\"',98335,0
'\"d $350,000-1 million\"',98409,0
'\"d $350,000-1 million\"',98188,0
'\"d $350,000-1 million\"',98008,246
'\"d $350,000-1 million\"',98119,31
'\"d $350,000-1 million\"',98122,0
'\"d $350,000-1 million\"',98109,16
'\"d $350,000-1 million\"',98108,0
'\"d $350,000-1 million\"',98204,42
'\"d $350,000-1 million\"',98501,77
'\"d $350,000-1 million\"',98103,35
'\"d $350,000-1 million\"',98040,29
'\"d $350,000-1 million\"',98422,38
'\"d $350,000-1 million\"',98031,57
'\"d $350,000-1 million\"',98072,0
'\"d $350,000-1 million\"',98002,49
'\"d $350,000-1 million\"',98033,0
'\"d $350,000-1 million\"',98101,0
'\"d $350,000-1 million\"',98122,0
'\"d $350,000-1 million\"',98134,42
'\"d $350,000-1 million\"',98101,21
'\"d $350,000-1 million\"',98122,50
'\"d $350,000-1 million\"',99301,0
'\"d $350,000-1 million\"',98264,40
'\"d $350,000-1 million\"',98188,40
'\"d $350,000-1 million\"',98005,0
'\"d $350,000-1 million\"',98053,52
'\"d $350,000-1 million\"',98104,0
'\"d $350,000-1 million\"',98248,42
'\"d $350,000-1 million\"',98119,10
'\"d $350,000-1 million\"',99223,77
'\"d $350,000-1 million\"',99362,48
'\"d $350,000-1 million\"',98072,21
'\"d $350,000-1 million\"',98001,20
'\"d $350,000-1 million\"',99203,0
'\"d $350,000-1 million\"',98507,0
'\"d $350,000-1 million\"',98047,44
'\"d $350,000-1 million\"',98032,63
'\"d $350,000-1 million\"',98275,47
'\"d $350,000-1 million\"',98226,39
'\"d $350,000-1 million\"',99163,56
'\"d $350,000-1 million\"',98032,0
'\"d $350,000-1 million\"',98273,0
'\"d $350,000-1 million\"',98605,35
'\"d $350,000-1 million\"',98826,58
'\"d $350,000-1 million\"',98944,0
'\"d $350,000-1 million\"',99202,22
'\"d $350,000-1 million\"',98499,0
'\"d $350,000-1 million\"',99357,65
'\"d $350,000-1 million\"',98409,0
'\"d $350,000-1 million\"',98901,0
'\"d $350,000-1 million\"',99357,43
'\"d $350,000-1 million\"',98168,55
'\"d $350,000-1 million\"',98052,53
'\"d $350,000-1 million\"',98134,30
'\"d $350,000-1 million\"',98532,0
'\"d $350,000-1 million\"',98229,193
'\"d $350,000-1 million\"',98188,21
'\"d $350,000-1 million\"',98092,30
'\"d $350,000-1 million\"',98260,17
'\"d $350,000-1 million\"',98038,23
'\"d $350,000-1 million\"',98102,0
'\"d $350,000-1 million\"',98003,77
'\"d $350,000-1 million\"',98405,75
'\"d $350,000-1 million\"',98402,85
'\"d $350,000-1 million\"',99204,53
'\"d $350,000-1 million\"',98512,24
'\"d $350,000-1 million\"',98072,28
'\"d $350,000-1 million\"',99201,72
'\"d $350,000-1 million\"',98005,40
'\"d $350,000-1 million\"',98036,0
'\"d $350,000-1 million\"',98004,0
'\"d $350,000-1 million\"',98686,19
'\"d $350,000-1 million\"',98047,0
'\"d $350,000-1 million\"',98296,32
'\"d $350,000-1 million\"',99362,0
'\"d $350,000-1 million\"',98409,0
'\"d $350,000-1 million\"',98115,45
'\"d $350,000-1 million\"',98119,39
'\"d $350,000-1 million\"',98072,0
'\"d $350,000-1 million\"',98104,23
'\"d $350,000-1 million\"',98660,104
'\"d $350,000-1 million\"',98032,39
'\"d $350,000-1 million\"',98109,0
'\"d $350,000-1 million\"',98087,53
'\"d $350,000-1 million\"',98296,53
'\"d $350,000-1 million\"',98103,34
'\"d $350,000-1 million\"',98512,0
'\"d $350,000-1 million\"',98052,20
'\"d $350,000-1 million\"',98221,25
'\"d $350,000-1 million\"',98541,0
'\"d $350,000-1 million\"',98666,49
'\"d $350,000-1 million\"',98685,47
'\"d $350,000-1 million\"',98203,61
'\"d $350,000-1 million\"',98948,0
'\"d $350,000-1 million\"',98338,15
'\"d $350,000-1 million\"',98032,48
'\"d $350,000-1 million\"',98034,21
'\"d $350,000-1 million\"',98022,23
'\"d $350,000-1 million\"',98087,65
'\"d $350,000-1 million\"',98005,0
'\"d $350,000-1 million\"',98002,70
'\"d $350,000-1 million\"',98665,50
'\"d $350,000-1 million\"',99220,0
'\"d $350,000-1 million\"',98058,0
'\"d $350,000-1 million\"',98383,42
'\"d $350,000-1 million\"',98801,0
'\"d $350,000-1 million\"',98424,112
'\"d $350,000-1 million\"',98204,0
'\"d $350,000-1 million\"',98122,37
'\"d $350,000-1 million\"',98122,20
'\"d $350,000-1 million\"',98004,26
'\"d $350,000-1 million\"',98033,105
'\"d $350,000-1 million\"',99201,16
'\"d $350,000-1 million\"',98002,0
'\"d $350,000-1 million\"',98027,223
'\"d $350,000-1 million\"',98027,110
'\"d $350,000-1 million\"',98027,178
'\"d $350,000-1 million\"',98002,0
'\"d $350,000-1 million\"',98023,51
'\"d $350,000-1 million\"',98021,37
'\"d $350,000-1 million\"',98421,0
'\"d $350,000-1 million\"',98034,21
'\"d $350,000-1 million\"',98527,72
'\"d $350,000-1 million\"',98513,236
'\"d $350,000-1 million\"',98007,57
'\"d $350,000-1 million\"',98072,120
'\"d $350,000-1 million\"',99202,0
'\"d $350,000-1 million\"',98926,37
'\"d $350,000-1 million\"',98002,44
'\"d $350,000-1 million\"',98902,0
'\"d $350,000-1 million\"',98033,59
'\"d $350,000-1 million\"',98225,37
'\"d $350,000-1 million\"',98201,23
'\"d $350,000-1 million\"',98107,0
'\"d $350,000-1 million\"',98203,50
'\"d $350,000-1 million\"',98103,33
'\"d $350,000-1 million\"',99212,0
'\"d $350,000-1 million\"',98422,0
'\"d $350,000-1 million\"',98662,67
'\"d $350,000-1 million\"',98103,74
'\"d $350,000-1 million\"',98274,86
'\"d $350,000-1 million\"',98284,0
'\"d $350,000-1 million\"',98223,0
'\"d $350,000-1 million\"',99336,40
'\"d $350,000-1 million\"',98012,32
'\"d $350,000-1 million\"',98532,33
'\"d $350,000-1 million\"',98370,47
'\"d $350,000-1 million\"',98146,127
'\"d $350,000-1 million\"',98204,44
'\"d $350,000-1 million\"',98208,25
'\"d $350,000-1 million\"',98121,40
'\"d $350,000-1 million\"',98133,34
'\"d $350,000-1 million\"',98335,0
'\"d $350,000-1 million\"',98248,0
'\"d $350,000-1 million\"',98108,60
'\"d $350,000-1 million\"',98292,0
'\"d $350,000-1 million\"',99019,0
'\"d $350,000-1 million\"',98662,500
'\"d $350,000-1 million\"',98036,39
'\"d $350,000-1 million\"',98501,80
'\"d $350,000-1 million\"',98115,0
'\"d $350,000-1 million\"',98271,0
'\"d $350,000-1 million\"',99201,135
'\"d $350,000-1 million\"',98409,0
'\"d $350,000-1 million\"',98264,25
'\"d $350,000-1 million\"',98133,17
'\"d $350,000-1 million\"',98052,36
'\"d $350,000-1 million\"',98004,18
'\"d $350,000-1 million\"',98248,0
'\"d $350,000-1 million\"',98047,22
'\"d $350,000-1 million\"',98661,0
'\"d $350,000-1 million\"',99022,0
'\"d $350,000-1 million\"',98499,0
'\"d $350,000-1 million\"',98027,34
'\"d $350,000-1 million\"',98390,62
'\"d $350,000-1 million\"',98072,24
'\"d $350,000-1 million\"',98108,44
'\"d $350,000-1 million\"',98003,0
'\"d $350,000-1 million\"',99344,0
'\"d $350,000-1 million\"',98134,30
'\"d $350,000-1 million\"',98558,34
'\"d $350,000-1 million\"',99005,104
'\"d $350,000-1 million\"',98007,37
'\"d $350,000-1 million\"',98102,0
'\"d $350,000-1 million\"',98198,0
'\"d $350,000-1 million\"',98071,24
'\"d $350,000-1 million\"',99352,20
'\"d $350,000-1 million\"',98106,26
'\"d $350,000-1 million\"',98005,34
'\"d $350,000-1 million\"',98028,38
'\"d $350,000-1 million\"',98225,36
'\"d $350,000-1 million\"',98072,24
'\"d $350,000-1 million\"',99216,0
'\"d $350,000-1 million\"',98032,52
'\"d $350,000-1 million\"',98057,29
'\"d $350,000-1 million\"',98225,51
'\"d $350,000-1 million\"',98057,48
'\"d $350,000-1 million\"',99212,40
'\"d $350,000-1 million\"',98662,0
'\"d $350,000-1 million\"',98501,0
'\"d $350,000-1 million\"',98125,138
'\"d $350,000-1 million\"',98225,0
'\"d $350,000-1 million\"',98032,0
'\"d $350,000-1 million\"',98264,22
'\"d $350,000-1 million\"',98286,27
'\"d $350,000-1 million\"',98368,30
'\"d $350,000-1 million\"',98037,47
'\"d $350,000-1 million\"',98901,28
'\"d $350,000-1 million\"',98043,32
'\"d $350,000-1 million\"',98273,27
'\"d $350,000-1 million\"',98032,60
'\"d $350,000-1 million\"',98223,0
'\"d $350,000-1 million\"',98230,48
'\"d $350,000-1 million\"',98032,0
'\"d $350,000-1 million\"',98225,26
'\"d $350,000-1 million\"',98227,34
'\"d $350,000-1 million\"',98104,38
'\"d $350,000-1 million\"',98502,0
'\"d $350,000-1 million\"',98520,46
'\"d $350,000-1 million\"',98513,0
'\"d $350,000-1 million\"',98108,27
'\"d $350,000-1 million\"',99223,0
'\"d $350,000-1 million\"',98296,52
'\"d $350,000-1 million\"',98006,30
'\"d $350,000-1 million\"',98198,0
'\"d $350,000-1 million\"',98031,52
'\"d $350,000-1 million\"',99206,45
'\"d $350,000-1 million\"',98335,0
'\"d $350,000-1 million\"',98292,0
'\"d $350,000-1 million\"',98005,44
'\"d $350,000-1 million\"',98802,56
'\"d $350,000-1 million\"',98366,75
'\"d $350,000-1 million\"',98072,43
'\"d $350,000-1 million\"',99201,24
'\"d $350,000-1 million\"',98225,54
'\"d $350,000-1 million\"',98674,66
'\"d $350,000-1 million\"',98390,53
'\"d $350,000-1 million\"',99357,0
'\"d $350,000-1 million\"',98004,28
'\"d $350,000-1 million\"',99206,0
'\"d $350,000-1 million\"',98233,68
'\"d $350,000-1 million\"',98802,52
'\"d $350,000-1 million\"',98134,35
'\"d $350,000-1 million\"',98292,0
'\"d $350,000-1 million\"',98027,30
'\"d $350,000-1 million\"',98001,40
'\"d $350,000-1 million\"',98052,0
'\"d $350,000-1 million\"',98248,80
'\"d $350,000-1 million\"',98501,37
'\"d $350,000-1 million\"',98103,35
'\"d $350,000-1 million\"',98816,24
'\"d $350,000-1 million\"',98502,0
'\"d $350,000-1 million\"',98208,36
'\"d $350,000-1 million\"',98335,0
'\"d $350,000-1 million\"',98270,100
'\"d $350,000-1 million\"',98372,0
'\"d $350,000-1 million\"',99204,60
'\"d $350,000-1 million\"',98516,35
'\"d $350,000-1 million\"',98040,0
'\"d $350,000-1 million\"',98005,18
'\"d $350,000-1 million\"',98903,35
'\"d $350,000-1 million\"',98606,40
'\"d $350,000-1 million\"',99350,67
'\"d $350,000-1 million\"',98104,61
'\"d $350,000-1 million\"',98036,63
'\"d $350,000-1 million\"',98134,33
'\"d $350,000-1 million\"',98390,36
'\"d $350,000-1 million\"',98277,110
'\"d $350,000-1 million\"',98004,15
'\"d $350,000-1 million\"',99301,57
'\"d $350,000-1 million\"',98233,41
'\"d $350,000-1 million\"',98444,105
'\"d $350,000-1 million\"',98034,47
'\"d $350,000-1 million\"',98424,68
'\"d $350,000-1 million\"',99204,0
'\"d $350,000-1 million\"',98569,0
'\"d $350,000-1 million\"',98201,0
'\"d $350,000-1 million\"',98004,61
'\"d $350,000-1 million\"',98223,37
'\"d $350,000-1 million\"',98034,50
'\"d $350,000-1 million\"',98612,22
'\"d $350,000-1 million\"',98640,68
'\"d $350,000-1 million\"',98359,47
'\"d $350,000-1 million\"',98406,0
'\"d $350,000-1 million\"',98109,0
'\"d $350,000-1 million\"',98101,0
'\"d $350,000-1 million\"',98107,19
'\"d $350,000-1 million\"',98001,0
'\"d $350,000-1 million\"',98273,28
'\"d $350,000-1 million\"',98109,32
'\"d $350,000-1 million\"',98660,45
'\"d $350,000-1 million\"',98004,30
'\"d $350,000-1 million\"',98506,26
'\"d $350,000-1 million\"',98501,0
'\"d $350,000-1 million\"',98506,0
'\"d $350,000-1 million\"',98506,0
'\"d $350,000-1 million\"',98506,0
'\"d $350,000-1 million\"',98502,41
'\"d $350,000-1 million\"',98053,60
'\"d $350,000-1 million\"',98310,30
'\"d $350,000-1 million\"',98020,259
'\"d $350,000-1 million\"',98109,39
'\"d $350,000-1 million\"',98310,31
'\"d $350,000-1 million\"',98373,0
'\"d $350,000-1 million\"',98365,0
'\"d $350,000-1 million\"',98003,41
'\"d $350,000-1 million\"',98499,39
'\"d $350,000-1 million\"',98665,68
'\"d $350,000-1 million\"',98001,0
'\"d $350,000-1 million\"',98001,0
'\"d $350,000-1 million\"',98201,32
'\"d $350,000-1 million\"',98134,72
'\"d $350,000-1 million\"',98335,88
'\"d $350,000-1 million\"',98144,28
'\"d $350,000-1 million\"',98136,25
'\"d $350,000-1 million\"',99208,113
'\"d $350,000-1 million\"',98604,118
'\"d $350,000-1 million\"',98105,38
'\"d $350,000-1 million\"',98104,0
'\"d $350,000-1 million\"',98272,0
'\"d $350,000-1 million\"',98194,0
'\"d $350,000-1 million\"',98662,0
'\"d $350,000-1 million\"',98119,27
'\"d $350,000-1 million\"',98944,0
'\"d $350,000-1 million\"',98110,0
'\"d $350,000-1 million\"',98109,47
'\"d $350,000-1 million\"',98245,70
'\"d $350,000-1 million\"',98383,72
'\"d $350,000-1 million\"',98383,115
'\"d $350,000-1 million\"',98101,29
'\"d $350,000-1 million\"',98033,27
'\"d $350,000-1 million\"',98335,63
'\"d $350,000-1 million\"',98040,20
'\"d $350,000-1 million\"',98004,53
'\"d $350,000-1 million\"',98011,60
'\"d $350,000-1 million\"',98004,37
'\"d $350,000-1 million\"',98506,0
'\"d $350,000-1 million\"',98118,54
'\"d $350,000-1 million\"',98107,58
'\"d $350,000-1 million\"',98199,46
'\"d $350,000-1 million\"',98126,37
'\"d $350,000-1 million\"',98663,44
'\"d $350,000-1 million\"',98057,61
'\"d $350,000-1 million\"',98038,90
'\"d $350,000-1 million\"',98550,39
'\"d $350,000-1 million\"',98052,59
'\"d $350,000-1 million\"',98004,43
'\"d $350,000-1 million\"',98108,57
'\"d $350,000-1 million\"',99336,35
'\"d $350,000-1 million\"',98021,27
'\"d $350,000-1 million\"',98110,20
'\"d $350,000-1 million\"',98277,0
'\"d $350,000-1 million\"',98032,0
'\"d $350,000-1 million\"',98424,83
'\"d $350,000-1 million\"',98275,0
'\"d $350,000-1 million\"',98007,0
'\"d $350,000-1 million\"',98092,18
'\"d $350,000-1 million\"',98047,75
'\"d $350,000-1 million\"',98032,68
'\"d $350,000-1 million\"',98002,51
'\"d $350,000-1 million\"',98021,48
'\"d $350,000-1 million\"',98012,0
'\"d $350,000-1 million\"',98903,22
'\"d $350,000-1 million\"',98390,0
'\"d $350,000-1 million\"',98003,0
'\"d $350,000-1 million\"',98391,0
'\"d $350,000-1 million\"',98409,56
'\"d $350,000-1 million\"',98107,0
'\"d $350,000-1 million\"',98119,0
'\"d $350,000-1 million\"',98230,37
'\"d $350,000-1 million\"',98903,56
'\"d $350,000-1 million\"',98272,0
'\"d $350,000-1 million\"',98660,44
'\"d $350,000-1 million\"',98133,0
'\"d $350,000-1 million\"',98368,34
'\"d $350,000-1 million\"',98370,38
'\"d $350,000-1 million\"',98107,0
'\"d $350,000-1 million\"',98074,33
'\"d $350,000-1 million\"',98421,207
'\"d $350,000-1 million\"',98402,71
'\"d $350,000-1 million\"',98102,17
'\"d $350,000-1 million\"',98230,50
'\"d $350,000-1 million\"',98445,0
'\"d $350,000-1 million\"',98682,96
'\"d $350,000-1 million\"',98057,103
